FirstName,LastName,GroupName,AlbumTitle,Genre,Format
B.J.,Thomas,null,Greatest Hits Volume Two,Pop,Record
null,null,null,This Is Flying W Country,Country,Record
Elvis,Presley,null,Elvis The Other Sides Worldwide Gold Award Hits Vol. 2,Combination,Record
Elvis,Presley,null,3 Volume Elvis' Golden Records,Combination,Record
Elvis,Presley,null,Almost In Love,Combination,Record
Elvis,Presley,null,C'mon Everybody ELVIS,Combination,Record
Elvis,Presley,null,Elvis I Got Lucky,Combination,Record
Elvis,Presley,null,"RCA Victor Presents Elvis in The Original Soundtrack Album From The Paramount Picture Paradise, Hawaiian Style",Combination,Record
Elvis,Presley,null,Elvis-Back In Memphis,Combination,Record
Elvis,Presley,null,From Elvis In Memphis,Combination,Record
Elvis,Presley,null,Elvis Sings Christmas Songs Elvis' Christmas Album,Christmas,Record
null,null,"The ""Sleepwalk GUITARS of Dan &  Dale",Dream Lovers,Country,Record
Elvis,Presley,null,Frankie & Johnny,Combination,Record
Elvis,Presley,null,RCA Victor Presents Elvis in The Original Soundtrack Album From Metro-Goldwyn-Mayer Picture Harum Scarum,Pop,Record
Elvis,Presley,null,RCA Victor Presents Elvis In The Original Soundtrack Album From Metro-Goldwyn-Mayer Picture SPINOUT,Rock,Record
Elvis,Presley,null,That's The Way It Is,Combination,Record
Elvis,Presley,null,Let's Be Friends,Combination,Record
Elvis,Presley,null,Love Letters From Elvis,Combination,Record
null,null,Raspberries,Raspberries,Rock,Record
null,null,The Nashville Country Jamboree Today's Country Hits,The Nashville Country Jamboree Today's Country Hits,Country,Record
null,null,null,The Guitars Unlimited Play The Roger Miller Hit Songs,Country,Record
null,null,null,Teen-Time Million Seller Hits By The Original Artists,Combination,Record
null,null,null,All The Hits With All The Stars,Combination,Record
null,null,The Lifeguards,C'mon And Swim,Rock,Record
null,null,null,Dance-A-Go-Go With All The Stars Vol. 2,Rock,Record
null,null,null,Shindig!,Musical,Record
null,null,The Monkees,More Of The Monkees,Pop,Record
null,null,The Supremes,The Supremes at The Copa,Combination,Record
null,null,null,The Original Golden Greats,Pop,Record
null,null,The Beatles,Yesterday And Today,Rock,Record
null,null,null,DETROLA Presents The Original Artists Of Rock & Roll,Rock,Record
null,null,The Beatles,Hey Jude,Rock,Record
null,null,The Beatles,Rubber Soul,Rock,Record
null,null,null,Songs From Mary Poppins,Children's,Record
null,null,null,Roger's and Hammerstein's The Sound Of Music,Musical,Record
null,null,null,Country Love,Country,Record
John,Denver,null,Windsong,Country,Record
Claude,King,null,Meet Claude King,Country,Record
Roy,Orbison,null,In Dreams,Rock,Record
null,null,The Monkees,The Monkees,Pop,Record
null,null,null,26 Top Hits ,Rock,Record
James,Brown,null,Papa's Got A Brand New Bag,Funk,Record
null,null,null,Santa Claus Is Coming To Town,Christmas,Record
null,null,null,Children's Christmas Favorites,Christmas,Record
null,null,null,The Little Drummer Boy,Christmas,Record
Don,Janse,and his 60-Voice Children's Chorus,The Christmas Drummer Boy,Christmas,Record
